items,item_type,esdc_domain,edit_type,edit_reason,LMIC_Label,March_4_add,edit_type_software
FPGA (Field programmable gate array),Tools and technology,Tools and technology,Tools and technology,,FPGA (Field programmable gate array),0,Tech - Software
Framing squares,Tools and technology,Tools and technology,Tools and technology,,Framing squares,0,Tools and technology
French language,Knowledge,Knowledge,Knowledge,,French language,0,Knowledge
Frequency counters,Tools and technology,Tools and technology,Tools and technology,,Frequency counters,0,Tools and technology
Frequency drives,Tools and technology,Tools and technology,Tools and technology,,Frequency drives,0,Tools and technology
Front end loaders,Tools and technology,Tools and technology,Tools and technology,,Front end loaders,0,Tools and technology
Fuel handling systems,Tools and technology,Tools and technology,Tools and technology,,Fuel handling systems,0,Tools and technology
Fuel pumps,Tools and technology,Tools and technology,Tools and technology,,Fuel pumps,0,Tools and technology
Fumigators,Tools and technology,Tools and technology,Tools and technology,,Fumigators,0,Tools and technology
Function generators,Tools and technology,Tools and technology,Tools and technology,,Function generators,0,Tools and technology
Functional capacity evaluation FCE systems,Tools and technology,Tools and technology,Knowledge,"set of tests, practices and observations that are combined to determine the ability of the evaluated person to function in a variety of circumstances, most often employment, in an objective manne",Functional capacity evaluation FCE systems,0,Knowledge
Functional testing software,Tools and technology,Tools and technology,Tools and technology,,Functional testing software,0,Tech - Software
Fund accounting software,Tools and technology,Tools and technology,Tools and technology,,Fund accounting software,0,Tech - Software
G code,Knowledge,Knowledge,Tools and technology,Numerical control programming language (I think I saw this in 'Other'),G-code,0,Tech - Software
Gaffs,Tools and technology,Tools and technology,Tools and technology,,Gaffs,0,Tools and technology
Gamma cameras,Tools and technology,Tools and technology,Tools and technology,,Gamma cameras,0,Tools and technology
Gantry cranes,Tools and technology,Tools and technology,Tools and technology,,Gantry cranes,0,Tools and technology
Gas burners,Tools and technology,Tools and technology,Tools and technology,,Gas burners,0,Tools and technology
Gas chromatographs,Tools and technology,Tools and technology,Tools and technology,,Gas chromatographs,0,Tools and technology
Gas detectors,Tools and technology,Tools and technology,Tools and technology,,Gas detectors,0,Tools and technology
Gas furnaces,Tools and technology,Tools and technology,Tools and technology,,Gas furnaces,0,Tools and technology
Gas generators,Tools and technology,Tools and technology,Tools and technology,,Gas generators,0,Tools and technology
Gas ovens,Tools and technology,Tools and technology,Tools and technology,,Gas ovens,0,Tools and technology
Gas pumps,Tools and technology,Tools and technology,Tools and technology,,Gas pumps,0,Tools and technology
Gas turbine engines,Tools and technology,Tools and technology,Tools and technology,,Gas turbine engines,0,Tools and technology
Gasoline engines,Tools and technology,Tools and technology,Tools and technology,,Gasoline engines,0,Tools and technology
G-code,Knowledge,Knowledge,Tools and technology,,G-code,0,Tech - Software
Geant4,Tools and technology,Tools and technology,Tools and technology,,Geant4,0,Tech - Software
Gear pumps,Tools and technology,Tools and technology,Tools and technology,,Gear pumps,0,Tools and technology
Gear-cutting machines,Tools and technology,Tools and technology,Tools and technology,,Gear-cutting machines,0,Tools and technology
General Ledger,Other,?,Knowledge,,General Ledger,0,Knowledge
General ledger software,Tools and technology,Tools and technology,Tools and technology,,General ledger software,0,Tech - Software
Generally Accepted Accounting Principles (GAAP),Knowledge,Knowledge,Knowledge,,Generally Accepted Accounting Principles (GAAP),0,Knowledge
Generators,Tools and technology,Tools and technology,Tools and technology,,Generators,0,Tools and technology
Gensuite,Other,Work context,Tools and technology,Health and safety software,Gensuite,0,Tech - Software
Geographic information system GIS marketing software,Tools and technology,Tools and technology,Tools and technology,,Geographic Information Systems GIS,0,Tech - Software
Geographic information system GIS systems,Tools and technology,Tools and technology,Tools and technology,,Geographic Information Systems GIS,0,Tech - Software
GeoGraphix,Tools and technology,Tools and technology,Tools and technology,,GeoGraphix,0,Tech - software
Geometrix,Tools and technology,Tools and technology,Tools and technology,,Geometrix,0,Tech - software
German language,Knowledge,Knowledge,Knowledge,,German language,0,Knowledge
Getting Things Done GTD software,Tools and technology,Tools and technology,Tools and technology,,Getting Things Done GTD software,0,Tech - Software
GGY AXIS,Tools and technology,Tools and technology,Tools and technology,,GGY AXIS,0,Tech - Software
GibbsCAM,Tools and technology,Tools and technology,Tools and technology,,GibbsCAM,0,Tech - Software
Git,Tools and technology,Tools and technology,Tools and technology,,Git,0,Tech - Software
Global distribution system GDS software,Tools and technology,Tools and technology,Tools and technology,,Global distribution system GDS software,0,Tech - Software
Global positioning system GPS software,Tools and technology,Tools and technology,Tools and technology,,Global positioning system GPS software,0,Tech - Software
Glucometers,Tools and technology,Tools and technology,Tools and technology,,Glucometers,0,Tools and technology
Glue guns,Tools and technology,Tools and technology,Tools and technology,,Glue guns,0,Tools and technology
GNU Octave,Tools and technology,Tools and technology,Tools and technology,,GNU Octave,0,Tech - Software
Goal oriented,Skills,Skills,Other,,Goal oriented,0,Other
Google AdWords,Tools and technology,Tools and technology,Tools and technology,,Google AdWords,0,Tech - Software
Google Analytics,Tools and technology,Tools and technology,Tools and technology,,Google Analytics,0,Tech - Software
Google Calendar,Tools and technology,Tools and technology,Tools and technology,,Google Calendar,0,Tech - Software
Google Chrome,Tools and technology,Tools and technology,Tools and technology,,Google Chrome,0,Tech - Software
Google Docs,Tools and technology,Tools and technology,Tools and technology,,Google docs,0,Tech - Software
Google DoubleClick,Tools and technology,Tools and technology,Tools and technology,,Google DoubleClick,0,Tech - Software
Google Drive,Tools and technology,Tools and technology,Tools and technology,,Google Drive,0,Tech - Software
Google Gmail,Tools and technology,Tools and technology,Tools and technology,,Google Gmail,0,Tech - Software
Google Sheets,Tools and technology,Tools and technology,Tools and technology,,Google docs,0,Tech - Software
Google SketchUp,Tools and technology,Tools and technology,Tools and technology,,Google SketchUp,0,Tech - Software
Google Slides,Tools and technology,Tools and technology,Tools and technology,,Google docs,0,Tech - Software
Google spreadsheet,Tools and technology,Tools and technology,Tools and technology,,Google docs,0,Tech - Software
Google Webmaster Tools,Tools and technology,Tools and technology,Tools and technology,,Google Webmaster Tools,0,Tech - Software
"Governance, risk, and compliance GRC software",Tools and technology,Tools and technology,Tools and technology,,"Governance, risk, and compliance GRC software",0,Tech - Software
Grails,Tools and technology,Tools and technology,Tools and technology,,Grails,0,Tech - Software
Grain dryers,Tools and technology,Tools and technology,Tools and technology,,Grain dryers,0,Tools and technology
